Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.)
29-11-2019,1582,1582,1548,1550.9,226724,9087,353577178
28-11-2019,1572.5,1584,1564.4,1579.95,273450,11289,431394752
27-11-2019,1561,1575,1556.4,1569.75,179080,7672,280250965
26-11-2019,1569.4,1576,1556,1558.85,334268,13120,523395964
25-11-2019,1551,1564.6,1551,1560.7,260903,15879,406728548
22-11-2019,1543,1569.6,1537.9,1546.4,475417,16723,737031385
21-11-2019,1547.5,1556.3,1528.6,1537.25,591358,20290,909043312
20-11-2019,1552.55,1571.85,1543.55,1547.05,1140656,34141,1779945313
19-11-2019,1467.5,1514.95,1465.5,1509.8,826626,23661,1237753641
18-11-2019,1471.35,1486,1449.95,1458.5,294198,8955,431448176
15-11-2019,1465.25,1486.5,1463.25,1469.3,437787,9141,647132629
14-11-2019,1475,1481,1456.05,1463.4,348202,6349,511200253
13-11-2019,1431,1475,1430,1472,468318,13320,685184951
11-11-2019,1440,1444.05,1423.35,1427.8,257103,7360,367800101
08-11-2019,1458.6,1459.6,1441,1445.35,371642,8831,537788400
07-11-2019,1438,1462.9,1432.95,1458.8,295528,7713,427910804
06-11-2019,1445.7,1446.2,1428.7,1432.1,418283,8697,600222861
05-11-2019,1458.55,1469,1440.6,1447.6,217549,7328,315620331
04-11-2019,1466,1471.15,1445,1457.25,434639,9852,632068386
01-11-2019,1459.9,1462.05,1441.1,1457,211205,13572,306641758
31-10-2019,1482.25,1489.5,1461,1464.2,235883,8335,347229471
30-10-2019,1480.1,1484,1460.4,1478.7,1226942,7766,1807335627
29-10-2019,1442.25,1480.4,1442.25,1467.1,516396,15723,757423916
27-10-2019,1440,1445.75,1430,1434.1,75033,4205,107890531
25-10-2019,1437.5,1440.25,1411.8,1430.7,359803,8727,513332644
24-10-2019,1400.05,1441,1386.75,1436.25,433374,14812,613968949
23-10-2019,1417,1425.5,1383.4,1392.85,307585,9272,431747627
22-10-2019,1427.05,1437.65,1404,1414.25,638098,16761,905870695
18-10-2019,1403.1,1428,1399.7,1415.3,629451,20580,891730305
17-10-2019,1378,1399,1372.15,1396.15,282943,10495,392477847
16-10-2019,1368.3,1379.9,1363.5,1372.7,193229,7405,265191756
15-10-2019,1363.5,1370,1345,1363.3,197367,6566,269215285
14-10-2019,1363.6,1363.6,1351,1357.65,222880,9270,302733112
11-10-2019,1365,1366,1337,1352.4,286839,11135,387858947
10-10-2019,1328,1368,1322.55,1362.4,682081,22000,925604906
09-10-2019,1311.9,1330,1293.15,1325.75,236137,8136,309441922
07-10-2019,1310,1320,1301.55,1309.8,192830,7629,252998470
04-10-2019,1317.1,1328.5,1304.05,1307.45,247244,9307,326097491
03-10-2019,1290.05,1314.1,1281.2,1311,178536,7640,233179950
01-10-2019,1335,1342.5,1293.8,1305.05,360415,12100,475230440
30-09-2019,1310,1336,1305.8,1332.6,449676,15970,594485301
27-09-2019,1293.8,1314.9,1284,1308.75,444521,14551,581294515
26-09-2019,1290,1298.7,1283.45,1296.6,488106,11735,630807587
25-09-2019,1281,1295.45,1269.35,1279.8,416620,11835,535371565
24-09-2019,1243,1298.55,1242.05,1278.55,960949,29712,1233129039
23-09-2019,1278,1280.85,1233.2,1238.65,757163,22433,945501451
20-09-2019,1186.6,1269.5,1174.6,1254.4,1076465,31967,1330919428
19-09-2019,1207,1209.35,1173.25,1178.7,349304,12272,415214789
18-09-2019,1204.85,1216.1,1197.6,1205.7,298269,10750,359759269
17-09-2019,1214.8,1214.8,1193.7,1197.2,234035,7990,281285517
16-09-2019,1191,1218.15,1188.5,1210.8,366945,12722,442480783
13-09-2019,1214.7,1228.25,1207.05,1225.55,547909,10103,666815151
12-09-2019,1238,1239.6,1206.35,1210.35,251041,7713,306671821
11-09-2019,1222.7,1239.95,1222.7,1234.1,206849,8132,255197005
09-09-2019,1222,1232.75,1213.2,1222.1,278530,12879,341058853
06-09-2019,1205,1229,1196.25,1222.5,519895,15453,632302424
05-09-2019,1208,1213.75,1193.2,1198.3,503380,12110,605299883
04-09-2019,1200,1204.9,1185.5,1201.55,517321,12746,618688652
03-09-2019,1240,1243.05,1200,1205.9,328171,11177,401584839
30-08-2019,1247,1254,1220.85,1248.35,680248,17323,841361162
29-08-2019,1257.95,1260,1235.5,1242.2,397297,9906,496745993
28-08-2019,1276,1280.5,1256.85,1263.05,260137,8595,329143914
27-08-2019,1283,1283.9,1261.8,1275.1,350824,11806,445904496
26-08-2019,1294,1294,1259.7,1265.9,323755,10133,412696972
23-08-2019,1243,1283.9,1226.8,1275.95,513210,14360,645442295
22-08-2019,1271,1271.05,1239.05,1246.5,403122,10685,504631841
21-08-2019,1277.4,1278.4,1266.65,1270.8,233087,7841,296322603
20-08-2019,1294,1294,1272.85,1276,291530,9667,373253404
19-08-2019,1280.8,1296.65,1280.55,1292.1,463484,15977,597868367
16-08-2019,1290.55,1291,1273.2,1277.4,339588,11206,434754685
14-08-2019,1298,1304,1280.1,1288.3,785411,24593,1014360986
13-08-2019,1240,1302.5,1225.3,1275,2092112,55153,2670664090
09-08-2019,1159,1175,1152.7,1162,528918,14494,616591951
08-08-2019,1109,1158,1095.65,1151.95,861938,22134,971203090
07-08-2019,1127.8,1138.4,1103,1109,546804,16020,612273940
06-08-2019,1136.8,1149.9,1121.95,1128,433717,14572,492896614
05-08-2019,1177.5,1177.5,1129,1143,607913,18720,695037228
02-08-2019,1175.5,1198,1162.35,1184.2,523278,14362,618780120
01-08-2019,1169.8,1188.3,1150.2,1180.55,430950,15545,502192081
31-07-2019,1177.95,1184.85,1163,1166,363098,12108,425913715
30-07-2019,1211.25,1219.9,1175.8,1180.55,413976,13254,497385022
29-07-2019,1219.4,1221.5,1205.1,1211.15,416379,15942,504813891
26-07-2019,1233.45,1242,1210.05,1214.1,552475,16580,675078610
25-07-2019,1267.95,1268.8,1227.15,1232.3,382454,13505,476115507
24-07-2019,1274,1279.05,1254.4,1258.8,494832,15224,623954123
23-07-2019,1285.7,1294,1261.3,1272.85,425680,15380,545956313
22-07-2019,1256.95,1284.55,1227.6,1280.5,585651,21941,739273656
19-07-2019,1268.25,1271,1243,1249,322482,14090,405307998
18-07-2019,1281.9,1286.2,1258,1261.8,181908,7220,230997969
17-07-2019,1296.8,1296.8,1280,1281.55,159911,5587,205800579
16-07-2019,1279,1295,1269.1,1293.1,583479,11000,747427357
15-07-2019,1285,1289,1271,1275.9,245812,10382,313701730
12-07-2019,1284.7,1299.8,1278,1280.6,321654,9695,415215079
11-07-2019,1284.05,1289.75,1279.6,1281.3,156332,5750,200832514
10-07-2019,1281.2,1288.7,1269,1278.35,384665,9892,491147695
09-07-2019,1250.3,1283.85,1245.1,1279.45,528377,12502,672169008
08-07-2019,1261,1267.7,1248.05,1251.9,348852,10400,438267331
05-07-2019,1287.05,1290.2,1259.45,1262.6,350612,9337,446871150
04-07-2019,1282,1291.25,1280.75,1283,319573,8020,410881551
03-07-2019,1281.55,1286.4,1276,1282.25,274520,7495,351978556
02-07-2019,1275.05,1281,1263.65,1278.05,350865,9211,446098356
01-07-2019,1257,1272,1247,1268.5,384353,10031,485604276
28-06-2019,1279,1282.8,1248.05,1252,440862,11722,555870733
27-06-2019,1294.55,1296.65,1271.1,1274.85,288623,8119,370196764
26-06-2019,1288.05,1304.5,1287.1,1294.55,320941,7881,415788983
25-06-2019,1262,1297.8,1254.35,1295.8,407274,11672,522040755
24-06-2019,1268,1276,1257.45,1262.65,346832,9987,438384209
21-06-2019,1295,1295.6,1276,1279.2,338684,6930,435105080
20-06-2019,1279,1300,1278.15,1296.9,302515,6826,389884107
19-06-2019,1285.25,1301.15,1262.7,1277.5,449975,11403,577504776
18-06-2019,1281,1287.6,1269.3,1282.55,430918,10179,551896174
17-06-2019,1321.2,1321.5,1277.5,1281.5,472822,11892,610573007
14-06-2019,1322.7,1325.1,1309.5,1316.95,434045,9536,570987977
13-06-2019,1330.95,1334.35,1310,1324.3,380891,7691,503423648
12-06-2019,1335.2,1338.6,1325.65,1331.1,201151,6038,268046224
11-06-2019,1321.15,1334.8,1317.2,1328.55,297974,8142,395706442
10-06-2019,1319.9,1327,1310.6,1318.85,296443,7494,390924889
07-06-2019,1327.7,1328.7,1305.6,1315.3,441793,10916,580700581
06-06-2019,1354.2,1359,1321.65,1327.05,344675,9587,459962645
04-06-2019,1358,1373,1347.45,1351.1,340665,9633,462525807
03-06-2019,1335,1365,1322.1,1358.3,511401,14192,688348383
31-05-2019,1339,1340.9,1321.25,1329.75,446597,11523,594258075
30-05-2019,1316.4,1340.45,1316,1330.6,509268,14544,676887565
29-05-2019,1322.25,1333.15,1304.5,1313.25,409985,11911,541517260
28-05-2019,1317.2,1334.8,1314.05,1325.95,563020,12637,746016613
27-05-2019,1336,1337,1308,1310.7,606138,14836,801966074
24-05-2019,1349.9,1353.5,1316.6,1336.8,877196,18012,1171131872
23-05-2019,1370,1392,1324.45,1335.8,1231275,29532,1679396135
22-05-2019,1349,1359,1334.5,1340.7,636091,14705,855331356
21-05-2019,1329.3,1366.25,1329.3,1339.75,1951774,22787,2618922180
20-05-2019,1313.9,1336.5,1302.6,1325.5,2132599,24716,2809904457
17-05-2019,1268,1276.9,1255,1265.7,538457,17074,682013607
16-05-2019,1261,1270.35,1257.75,1264.05,442115,9679,558934148
15-05-2019,1274.8,1277.9,1251.1,1257.25,692013,16046,877648192
14-05-2019,1235.2,1269.5,1232,1259.5,860411,18386,1078538155
13-05-2019,1250.4,1260.35,1227,1230.85,655195,14097,816365439
10-05-2019,1264.9,1277.9,1245,1250.5,1927846,22396,2430555806
09-05-2019,1291.7,1291.7,1251.5,1255.15,1026247,27186,1296877796
08-05-2019,1340,1340,1291.05,1299.45,892233,18906,1171528310
07-05-2019,1391.5,1394,1341.3,1344.55,1036844,13586,1422520487
06-05-2019,1399,1402,1378.55,1384.85,741073,10606,1033723388
03-05-2019,1407,1417,1401.4,1407.05,966982,18908,1364695438
02-05-2019,1394,1413.75,1382,1405.1,587675,14843,824076670
30-04-2019,1395,1395,1367,1391.8,924687,17546,1280623869
26-04-2019,1377.7,1395,1370.45,1391.45,494466,12875,684219638
25-04-2019,1392.9,1410.9,1365,1374.55,795686,20124,1111111096
24-04-2019,1370,1394.6,1366.35,1390,494553,12799,682236304
23-04-2019,1349.95,1371.85,1345.65,1363.3,494658,14106,674498343
22-04-2019,1364,1365.15,1341,1344.8,505500,13150,683705738
18-04-2019,1365.45,1387,1365,1382.9,923643,19038,1273172000
16-04-2019,1345,1359.7,1340.25,1345.3,465453,7930,628629275
15-04-2019,1344.7,1348.8,1333.95,1339.75,434076,6444,582258104
12-04-2019,1348.9,1356.55,1337.3,1341.95,497617,8006,669402713
11-04-2019,1332.8,1351.7,1328.7,1346.15,571692,8026,764461258
10-04-2019,1340,1347.65,1326,1328.95,450636,8796,602848004
09-04-2019,1330.9,1340,1321.6,1335.35,816181,11749,1085093008
08-04-2019,1354.6,1356.1,1324,1329.4,466058,12865,621963880
05-04-2019,1360.1,1363.85,1343.6,1355.1,616827,9170,834434500
04-04-2019,1379,1383.75,1347.05,1353.1,635792,14046,864804306
03-04-2019,1394.45,1402.35,1370,1373.8,713519,9614,992560318
02-04-2019,1396.55,1402.7,1380.8,1388.45,498144,10193,692659021
01-04-2019,1368.55,1406.5,1362.85,1391.55,702586,14020,976331811
29-03-2019,1366,1376,1356.1,1363.05,401704,7190,547539247
28-03-2019,1350,1369.9,1343.35,1360.55,519984,11281,705598626
27-03-2019,1377,1377,1344.9,1350.1,627415,11518,852755759
26-03-2019,1330,1369.95,1330,1367.15,905101,14203,1224142600
25-03-2019,1330.1,1336.75,1317.15,1325.25,488850,8161,647623545
22-03-2019,1374,1380.25,1337.5,1342.1,593064,13638,805603489
20-03-2019,1379,1386.6,1363.6,1375.6,627417,12176,863698258
19-03-2019,1359,1378,1343,1375.25,938383,15231,1276996358
18-03-2019,1325.1,1358.15,1325.1,1347.6,761355,10917,1020960109
15-03-2019,1345,1358.2,1311.65,1322.6,874076,12784,1174597135
14-03-2019,1350,1361.45,1334,1341.2,1336698,16091,1807319340
13-03-2019,1334.5,1350,1327.75,1346.75,1028000,18754,1375879544
12-03-2019,1317.1,1333,1315.5,1329.85,1924635,14061,2546909679
11-03-2019,1270.8,1313,1268.1,1301,759441,13550,981516710
08-03-2019,1265.05,1274,1261.5,1266.6,352593,5642,446401460
07-03-2019,1262.7,1279,1258.9,1269.85,779193,11921,989782633
06-03-2019,1239.5,1271.8,1235.5,1263.55,736337,13752,926458231
05-03-2019,1226.7,1239.4,1218.2,1236.95,586805,10310,721997249
01-03-2019,1235,1242.5,1222.45,1226.7,507499,7949,623251355
28-02-2019,1231,1239.5,1225.35,1231.55,512236,7882,632117844
27-02-2019,1227.4,1244,1209.15,1222.45,575146,14288,704935805
26-02-2019,1214.4,1233.6,1206.15,1219.7,520246,11051,635933053
25-02-2019,1235.8,1243,1223.15,1232.15,367746,8020,452695513
22-02-2019,1241.25,1245.9,1226.1,1232.6,1034097,9327,1274601827
21-02-2019,1236,1256.7,1230.2,1246.45,772710,12110,962772274
20-02-2019,1226.1,1239.25,1218.75,1234.35,843803,8714,1034721130
19-02-2019,1219.2,1239.7,1211.3,1216.35,403246,7444,494700333
18-02-2019,1245.3,1251.4,1215.95,1219.75,796789,15525,979965086
15-02-2019,1225,1248.5,1215,1243.5,641322,10318,787510636
14-02-2019,1240.25,1242.7,1218.1,1225.5,378130,8225,464799413
13-02-2019,1261,1272.9,1235,1244.4,712025,7867,896602789
12-02-2019,1253,1272,1251.9,1256.7,435053,8373,548366701
11-02-2019,1277,1277,1251,1253.45,330991,7547,416636647
08-02-2019,1287,1298.7,1272.25,1277.35,872003,9694,1118087297
07-02-2019,1310.95,1320.85,1285.8,1290.2,739962,17752,963846467
06-02-2019,1298,1316.5,1292,1309.85,1086608,16587,1422986021
05-02-2019,1292,1304.25,1278.6,1290.3,945879,17376,1223207616
04-02-2019,1245.55,1297,1245,1291.15,1105463,19155,1403013548
01-02-2019,1234,1253,1225.75,1247.3,927747,15561,1148879638
31-01-2019,1201,1229.8,1201,1227.1,620899,18129,757355180
30-01-2019,1215,1224.9,1190.55,1194.8,450085,10108,543250116
29-01-2019,1230,1231.9,1201.6,1210.9,578115,8825,700202469
28-01-2019,1253,1255.45,1221.75,1229.6,787401,9609,974290830
25-01-2019,1250.1,1263,1236.55,1246.25,516086,11215,646917563
24-01-2019,1225.05,1251.75,1220.1,1245.4,946733,16585,1174544181
23-01-2019,1233.4,1244,1222.5,1225.7,419632,7946,517309286
22-01-2019,1234,1246.25,1219.4,1234.75,1241159,19614,1531367977
21-01-2019,1193.9,1237.4,1189.75,1234.5,1461187,30093,1788265319
18-01-2019,1149.7,1189.25,1135.5,1182.95,1808806,32839,2106269584
17-01-2019,1141,1147.8,1129.1,1133.75,776161,12737,881619287
16-01-2019,1134.7,1144.65,1130.25,1134.05,465380,9362,529664530
15-01-2019,1103.2,1132.3,1103.2,1129.55,661895,12574,744098640
14-01-2019,1096.7,1102,1086.25,1096.45,258020,5879,281993066
11-01-2019,1109.3,1114,1089.5,1097.9,477873,8840,525264172
10-01-2019,1108.4,1110.65,1102.1,1105.65,203576,3977,225036352
09-01-2019,1111.9,1116,1098.5,1108.4,338370,7291,375452581
08-01-2019,1106.35,1109.9,1096.1,1103.95,513616,6328,565803545
07-01-2019,1105.15,1117.95,1101,1103.45,303180,6341,336409152
04-01-2019,1098,1104.35,1081.25,1099.05,397992,9088,435347809
03-01-2019,1108.05,1114.45,1089.65,1091.75,357046,9329,392917269
02-01-2019,1116,1126.75,1101.45,1106.3,322660,7052,358880608
01-01-2019,1126,1130,1111.55,1121.35,264741,6178,296206996
